X,Y,Thickness
266914.55,572381.53,34.74
267414.55,572381.53,27.61
267914.55,572381.53,43.47
268414.55,572381.53,51.74
268914.55,572381.53,58.39
269414.55,572381.53,56.87
230414.55,572881.53,66.35
230914.55,572881.53,66.96
231414.55,572881.53,67.05
231914.55,572881.53,67.6
232414.55,572881.53,67.85
232914.55,572881.53,67.91
233414.55,572881.53,67.97
233914.55,572881.53,60.32
234414.55,572881.53,62.1
234914.55,572881.53,67.98
235414.55,572881.53,72.14
235914.55,572881.53,73.71
236414.55,572881.53,73.78
236914.55,572881.53,72.71
237414.55,572881.53,73.41
237914.55,572881.53,74.33
238414.55,572881.53,76.56
238914.55,572881.53,73.23
239414.55,572881.53,56.84
239914.55,572881.53,57.08
240414.55,572881.53,53.16
240914.55,572881.53,49.8
241414.55,572881.53,51.53
241914.55,572881.53,59.36
242414.55,572881.53,60.95
242914.55,572881.53,50.39
243414.55,572881.53,43.47
243914.55,572881.53,43.41
244414.55,572881.53,46.77
244914.55,572881.53,46.42
245414.55,572881.53,48.55
245914.55,572881.53,36.56
246414.55,572881.53,24.98
246914.55,572881.53,17.37
247414.55,572881.53,20.68
247914.55,572881.53,20.52
248414.55,572881.53,23.16
248914.55,572881.53,32.85
249414.55,572881.53,37.07
249914.55,572881.53,35.14
250414.55,572881.53,36.65
250914.55,572881.53,37.29
251414.55,572881.53,35.29
251914.55,572881.53,42.88
252414.55,572881.53,41.04
252914.55,572881.53,40.7
253414.55,572881.53,39.94
253914.55,572881.53,38.07
254414.55,572881.53,35.67
254914.55,572881.53,33.24
255414.55,572881.53,28.06
255914.55,572881.53,33.39
256414.55,572881.53,41.55
256914.55,572881.53,50.76
257414.55,572881.53,36.99
257914.55,572881.53,27.01
258414.55,572881.53,24.23
258914.55,572881.53,33.21
259414.55,572881.53,27.65
259914.55,572881.53,23.67
260414.55,572881.53,25.92
260914.55,572881.53,29.89
261414.55,572881.53,28.71
261914.55,572881.53,25.31
262414.55,572881.53,23.62
262914.55,572881.53,20.68
263414.55,572881.53,14.28
263914.55,572881.53,23.67
264414.55,572881.53,20.12
264914.55,572881.53,9.45
265414.55,572881.53,32.23
265914.55,572881.53,51
266414.55,572881.53,47.63
266914.55,572881.53,26.35
267414.55,572881.53,31.67
267914.55,572881.53,53
268414.55,572881.53,51.78
268914.55,572881.53,60.22
269414.55,572881.53,55.9
229914.55,573381.53,69.09
230414.55,573381.53,68.8
230914.55,573381.53,67.51
231414.55,573381.53,68.01
231914.55,573381.53,70.18
232414.55,573381.53,69.89
232914.55,573381.53,70.1
233414.55,573381.53,71.52
233914.55,573381.53,71.44
234414.55,573381.53,70.47
234914.55,573381.53,65.12
235414.55,573381.53,71.54
235914.55,573381.53,78.1
236414.55,573381.53,78.05
236914.55,573381.53,76.75
237414.55,573381.53,74.83
237914.55,573381.53,74.55
238414.55,573381.53,75.38
238914.55,573381.53,69.76
